Curso;Descricao
Gestão de Recursos Humanos;Aprende técnicas de recrutamento, seleção e desenvolvimento de pessoas para empresas.
Decoração de Ambientes;Curso prático sobre organização, design de interiores e harmonização de espaços.
Administração Empresarial;Fundamentos de gestão, planejamento estratégico e processos administrativos.
Introdução à Programação em Python;Primeiros passos na lógica de programação e criação de sistemas simples em Python.
Marketing Digital;Estratégias para promover negócios online usando redes sociais e ferramentas digitais.
Finanças Pessoais;Controle de orçamento, planejamento financeiro e investimentos básicos.
Logística e Cadeia de Suprimentos;Conceitos de transporte, armazenagem e gestão de estoques.
Informática Básica;Conhecimentos essenciais de Windows, Word, Excel e internet para iniciantes.
Atendimento ao Cliente;Técnicas de comunicação e relacionamento para melhorar a experiência do cliente.
Design Gráfico;Introdução ao Photoshop, Illustrator e criação de materiais visuais para empresas.
